A,B,C,D,E
2014,437.0978051,32.49682998,22.1332829,0.0%
2015,432.6672271,39.41372458,36.53408429,+3.4%
2016,424.0902958,46.66715153,33.31427231,-0.9%
2017,408.8693763,47.59741359,29.61417085,-3.6%
2018,395.5875945,92.08020894,28.41600473,+6.2%
2019,396.0532396,83.33567146,28.29398861,-1.3%
