A,B,C,D
ATCOs in OPS,17885,17764,1.2
ATCOs on other duties,2337,2297,0.3
Ab-initio trainees,1015,904,13.8
On-the-job trainees,959,863,11.1
ATC assistants,2002,1995,1.1
OPS-Support (non-ATCOs),4203,4179,0.9
"Technical support staff 
for maintenance",9708,9764,-0.8
"Technical support staff 
for planning and development",3215,3028,6.2
Administration,9665,9191,5.3
Staff for ancillary services,1934,1911,1.2
Other staff,3883,3908,-1.6
